"Time differences (ps)"	"Counts per bin"
-3000	1527
-2998	1527
-2996	1446
-2994	1458
-2992	1514
-2990	1438
-2988	1362
-2986	1415
-2984	1390
-2982	1278
-2980	1230
-2978	1219
-2976	1159
-2974	1103
-2972	1070
-2970	1030
-2968	1066
-2966	992
-2964	946
-2962	855
-2960	838
-2958	786
-2956	756
-2954	766
-2952	704
-2950	653
-2948	612
-2946	563
-2944	570
-2942	519
-2940	490
-2938	475
-2936	417
-2934	430
-2932	362
-2930	372
-2928	301
-2926	332
-2924	326
-2922	277
-2920	288
-2918	211
-2916	247
-2914	227
-2912	216
-2910	193
-2908	182
-2906	169
-2904	174
-2902	135
-2900	160
-2898	142
-2896	122
-2894	107
-2892	104
-2890	96
-2888	89
-2886	117
-2884	90
-2882	81
-2880	71
-2878	65
-2876	50
-2874	68
-2872	58
-2870	46
-2868	48
-2866	40
-2864	39
-2862	43
-2860	39
-2858	32
-2856	34
-2854	39
-2852	32
-2850	35
-2848	30
-2846	24
-2844	26
-2842	23
-2840	21
-2838	17
-2836	17
-2834	17
-2832	12
-2830	18
-2828	16
-2826	18
-2824	12
-2822	19
-2820	11
-2818	11
-2816	10
-2814	19
-2812	8
-2810	9
-2808	10
-2806	5
-2804	11
-2802	12
-2800	6
-2798	7
-2796	5
-2794	3
-2792	5
-2790	8
-2788	7
-2786	5
-2784	5
-2782	10
-2780	10
-2778	6
-2776	2
-2774	8
-2772	4
-2770	6
-2768	5
-2766	2
-2764	7
-2762	5
-2760	10
-2758	4
-2756	9
-2754	3
-2752	1
-2750	3
-2748	3
-2746	4
-2744	3
-2742	5
-2740	4
-2738	4
-2736	3
-2734	2
-2732	1
-2730	5
-2728	4
-2726	6
-2724	5
-2722	3
-2720	7
-2718	4
-2716	8
-2714	6
-2712	3
-2710	9
-2708	1
-2706	7
-2704	4
-2702	6
-2700	3
-2698	2
-2696	4
-2694	6
-2692	3
-2690	4
-2688	5
-2686	2
-2684	4
-2682	4
-2680	2
-2678	5
-2676	4
-2674	5
-2672	3
-2670	7
-2668	2
-2666	3
-2664	3
-2662	4
-2660	2
-2658	0
-2656	3
-2654	7
-2652	4
-2650	3
-2648	3
-2646	4
-2644	2
-2642	0
-2640	4
-2638	2
-2636	3
-2634	3
-2632	8
-2630	8
-2628	2
-2626	7
-2624	2
-2622	1
-2620	1
-2618	4
-2616	1
-2614	6
-2612	8
-2610	6
-2608	3
-2606	8
-2604	3
-2602	3
-2600	3
-2598	3
-2596	4
-2594	5
-2592	4
-2590	4
-2588	2
-2586	4
-2584	4
-2582	4
-2580	4
-2578	5
-2576	2
-2574	2
-2572	4
-2570	4
-2568	1
-2566	4
-2564	6
-2562	4
-2560	5
-2558	3
-2556	6
-2554	6
-2552	4
-2550	3
-2548	4
-2546	8
-2544	7
-2542	7
-2540	7
-2538	4
-2536	5
-2534	6
-2532	2
-2530	6
-2528	3
-2526	5
-2524	4
-2522	12
-2520	9
-2518	4
-2516	6
-2514	10
-2512	2
-2510	5
-2508	9
-2506	9
-2504	5
-2502	11
-2500	5
-2498	3
-2496	5
-2494	4
-2492	2
-2490	6
-2488	6
-2486	10
-2484	10
-2482	4
-2480	5
-2478	3
-2476	8
-2474	3
-2472	9
-2470	3
-2468	7
-2466	5
-2464	10
-2462	11
-2460	4
-2458	6
-2456	8
-2454	3
-2452	9
-2450	6
-2448	4
-2446	5
-2444	13
-2442	5
-2440	3
-2438	8
-2436	5
-2434	8
-2432	4
-2430	1
-2428	7
-2426	6
-2424	4
-2422	4
-2420	8
-2418	5
-2416	13
-2414	6
-2412	7
-2410	3
-2408	6
-2406	9
-2404	4
-2402	7
-2400	6
-2398	9
-2396	6
-2394	9
-2392	5
-2390	6
-2388	10
-2386	2
-2384	5
-2382	13
-2380	6
-2378	4
-2376	4
-2374	9
-2372	6
-2370	9
-2368	5
-2366	11
-2364	5
-2362	7
-2360	2
-2358	6
-2356	1
-2354	8
-2352	6
-2350	5
-2348	6
-2346	7
-2344	6
-2342	5
-2340	7
-2338	2
-2336	5
-2334	3
-2332	11
-2330	4
-2328	8
-2326	4
-2324	6
-2322	10
-2320	3
-2318	11
-2316	9
-2314	7
-2312	9
-2310	10
-2308	7
-2306	4
-2304	4
-2302	6
-2300	5
-2298	2
-2296	5
-2294	1
-2292	2
-2290	3
-2288	7
-2286	3
-2284	4
-2282	10
-2280	3
-2278	8
-2276	11
-2274	6
-2272	3
-2270	7
-2268	5
-2266	2
-2264	6
-2262	2
-2260	3
-2258	3
-2256	9
-2254	4
-2252	5
-2250	3
-2248	12
-2246	8
-2244	10
-2242	7
-2240	8
-2238	8
-2236	10
-2234	7
-2232	8
-2230	9
-2228	8
-2226	13
-2224	14
-2222	10
-2220	5
-2218	9
-2216	16
-2214	14
-2212	16
-2210	20
-2208	17
-2206	15
-2204	14
-2202	13
-2200	16
-2198	18
-2196	16
-2194	25
-2192	15
-2190	21
-2188	22
-2186	21
-2184	22
-2182	20
-2180	25
-2178	27
-2176	34
-2174	31
-2172	34
-2170	42
-2168	29
-2166	24
-2164	35
-2162	34
-2160	33
-2158	46
-2156	37
-2154	49
-2152	56
-2150	39
-2148	43
-2146	42
-2144	43
-2142	63
-2140	74
-2138	72
-2136	77
-2134	68
-2132	64
-2130	92
-2128	88
-2126	79
-2124	102
-2122	110
-2120	117
-2118	104
-2116	117
-2114	130
-2112	133
-2110	114
-2108	126
-2106	156
-2104	140
-2102	167
-2100	179
-2098	179
-2096	162
-2094	205
-2092	212
-2090	246
-2088	266
-2086	268
-2084	273
-2082	278
-2080	313
-2078	349
-2076	401
-2074	372
-2072	412
-2070	459
-2068	476
-2066	471
-2064	525
-2062	522
-2060	594
-2058	603
-2056	691
-2054	734
-2052	739
-2050	787
-2048	845
-2046	893
-2044	935
-2042	982
-2040	1013
-2038	1058
-2036	1043
-2034	1141
-2032	1186
-2030	1237
-2028	1167
-2026	1322
-2024	1317
-2022	1316
-2020	1342
-2018	1394
-2016	1372
-2014	1463
-2012	1451
-2010	1476
-2008	1512
-2006	1542
-2004	1544
-2002	1574
-2000	1544
-1998	1513
-1996	1609
-1994	1517
-1992	1535
-1990	1452
-1988	1467
-1986	1465
-1984	1401
-1982	1325
-1980	1318
-1978	1303
-1976	1203
-1974	1246
-1972	1179
-1970	1176
-1968	1083
-1966	1129
-1964	1022
-1962	999
-1960	897
-1958	946
-1956	855
-1954	789
-1952	806
-1950	717
-1948	698
-1946	638
-1944	657
-1942	565
-1940	558
-1938	477
-1936	506
-1934	519
-1932	436
-1930	436
-1928	371
-1926	335
-1924	328
-1922	342
-1920	321
-1918	304
-1916	253
-1914	223
-1912	231
-1910	241
-1908	212
-1906	187
-1904	159
-1902	167
-1900	171
-1898	143
-1896	140
-1894	143
-1892	120
-1890	110
-1888	130
-1886	101
-1884	88
-1882	96
-1880	83
-1878	86
-1876	67
-1874	76
-1872	61
-1870	63
-1868	51
-1866	55
-1864	59
-1862	59
-1860	57
-1858	49
-1856	58
-1854	44
-1852	47
-1850	27
-1848	33
-1846	27
-1844	30
-1842	30
-1840	27
-1838	28
-1836	21
-1834	14
-1832	15
-1830	19
-1828	17
-1826	13
-1824	16
-1822	12
-1820	16
-1818	11
-1816	20
-1814	13
-1812	8
-1810	16
-1808	17
-1806	7
-1804	10
-1802	11
-1800	6
-1798	14
-1796	11
-1794	8
-1792	7
-1790	6
-1788	9
-1786	7
-1784	6
-1782	10
-1780	5
-1778	6
-1776	8
-1774	7
-1772	8
-1770	8
-1768	4
-1766	4
-1764	3
-1762	8
-1760	4
-1758	1
-1756	3
-1754	3
-1752	4
-1750	5
-1748	2
-1746	6
-1744	9
-1742	5
-1740	4
-1738	7
-1736	3
-1734	4
-1732	1
-1730	2
-1728	4
-1726	4
-1724	3
-1722	5
-1720	3
-1718	4
-1716	3
-1714	6
-1712	9
-1710	4
-1708	5
-1706	8
-1704	4
-1702	0
-1700	2
-1698	4
-1696	1
-1694	3
-1692	3
-1690	2
-1688	0
-1686	3
-1684	7
-1682	4
-1680	4
-1678	7
-1676	4
-1674	5
-1672	4
-1670	5
-1668	2
-1666	6
-1664	4
-1662	4
-1660	4
-1658	3
-1656	4
-1654	6
-1652	6
-1650	3
-1648	2
-1646	2
-1644	7
-1642	13
-1640	4
-1638	3
-1636	1
-1634	6
-1632	7
-1630	3
-1628	4
-1626	4
-1624	4
-1622	7
-1620	5
-1618	1
-1616	5
-1614	2
-1612	8
-1610	3
-1608	8
-1606	6
-1604	6
-1602	3
-1600	4
-1598	4
-1596	2
-1594	1
-1592	3
-1590	3
-1588	5
-1586	3
-1584	5
-1582	3
-1580	4
-1578	5
-1576	5
-1574	4
-1572	3
-1570	4
-1568	3
-1566	2
-1564	1
-1562	3
-1560	6
-1558	5
-1556	2
-1554	2
-1552	5
-1550	7
-1548	2
-1546	6
-1544	3
-1542	3
-1540	6
-1538	6
-1536	7
-1534	6
-1532	5
-1530	10
-1528	5
-1526	9
-1524	4
-1522	6
-1520	7
-1518	5
-1516	7
-1514	9
-1512	8
-1510	5
-1508	5
-1506	6
-1504	6
-1502	6
-1500	7
-1498	7
-1496	7
-1494	6
-1492	8
-1490	8
-1488	6
-1486	5
-1484	3
-1482	11
-1480	2
-1478	8
-1476	4
-1474	5
-1472	8
-1470	5
-1468	6
-1466	4
-1464	2
-1462	7
-1460	1
-1458	5
-1456	5
-1454	5
-1452	6
-1450	6
-1448	5
-1446	9
-1444	6
-1442	4
-1440	5
-1438	4
-1436	7
-1434	9
-1432	8
-1430	6
-1428	6
-1426	8
-1424	4
-1422	4
-1420	4
-1418	5
-1416	2
-1414	9
-1412	6
-1410	5
-1408	7
-1406	9
-1404	12
-1402	11
-1400	4
-1398	6
-1396	10
-1394	7
-1392	5
-1390	6
-1388	5
-1386	6
-1384	5
-1382	8
-1380	5
-1378	7
-1376	8
-1374	3
-1372	4
-1370	5
-1368	7
-1366	4
-1364	8
-1362	9
-1360	9
-1358	8
-1356	9
-1354	8
-1352	6
-1350	10
-1348	2
-1346	3
-1344	4
-1342	4
-1340	4
-1338	3
-1336	3
-1334	12
-1332	3
-1330	7
-1328	5
-1326	12
-1324	3
-1322	4
-1320	5
-1318	9
-1316	8
-1314	3
-1312	7
-1310	4
-1308	3
-1306	8
-1304	3
-1302	5
-1300	4
-1298	5
-1296	9
-1294	7
-1292	7
-1290	6
-1288	4
-1286	4
-1284	4
-1282	5
-1280	8
-1278	2
-1276	3
-1274	9
-1272	4
-1270	3
-1268	5
-1266	3
-1264	8
-1262	4
-1260	4
-1258	5
-1256	11
-1254	7
-1252	8
-1250	3
-1248	6
-1246	8
-1244	7
-1242	8
-1240	8
-1238	14
-1236	6
-1234	11
-1232	15
-1230	9
-1228	13
-1226	8
-1224	5
-1222	12
-1220	7
-1218	8
-1216	8
-1214	12
-1212	16
-1210	7
-1208	13
-1206	9
-1204	11
-1202	13
-1200	21
-1198	11
-1196	20
-1194	20
-1192	21
-1190	18
-1188	17
-1186	14
-1184	23
-1182	22
-1180	24
-1178	18
-1176	26
-1174	30
-1172	27
-1170	30
-1168	22
-1166	29
-1164	30
-1162	24
-1160	42
-1158	37
-1156	38
-1154	37
-1152	39
-1150	38
-1148	60
-1146	54
-1144	56
-1142	65
-1140	49
-1138	37
-1136	51
-1134	67
-1132	64
-1130	78
-1128	59
-1126	86
-1124	87
-1122	84
-1120	91
-1118	100
-1116	94
-1114	101
-1112	127
-1110	130
-1108	107
-1106	129
-1104	136
-1102	147
-1100	142
-1098	176
-1096	176
-1094	187
-1092	182
-1090	187
-1088	230
-1086	262
-1084	243
-1082	275
-1080	282
-1078	261
-1076	302
-1074	304
-1072	361
-1070	394
-1068	401
-1066	440
-1064	452
-1062	491
-1060	525
-1058	545
-1056	530
-1054	649
-1052	669
-1050	713
-1048	723
-1046	791
-1044	798
-1042	879
-1040	911
-1038	1046
-1036	1035
-1034	1029
-1032	1068
-1030	1148
-1028	1157
-1026	1194
-1024	1262
-1022	1292
-1020	1317
-1018	1324
-1016	1421
-1014	1397
-1012	1438
-1010	1459
-1008	1567
-1006	1495
-1004	1543
-1002	1553
-1000	1552
-998	1465
-996	1582
-994	1508
-992	1580
-990	1538
-988	1527
-986	1508
-984	1503
-982	1386
-980	1445
-978	1395
-976	1403
-974	1344
-972	1264
-970	1236
-968	1195
-966	1167
-964	1096
-962	1060
-960	975
-958	947
-956	937
-954	931
-952	822
-950	795
-948	775
-946	705
-944	698
-942	690
-940	578
-938	615
-936	531
-934	581
-932	446
-930	467
-928	430
-926	399
-924	393
-922	351
-920	314
-918	303
-916	307
-914	311
-912	298
-910	231
-908	248
-906	217
-904	210
-902	183
-900	187
-898	185
-896	174
-894	142
-892	147
-890	119
-888	107
-886	129
-884	117
-882	85
-880	108
-878	104
-876	78
-874	82
-872	63
-870	84
-868	76
-866	56
-864	59
-862	52
-860	52
-858	41
-856	41
-854	29
-852	38
-850	39
-848	32
-846	17
-844	34
-842	27
-840	26
-838	31
-836	22
-834	20
-832	24
-830	25
-828	18
-826	17
-824	17
-822	17
-820	21
-818	15
-816	10
-814	19
-812	12
-810	8
-808	9
-806	10
-804	9
-802	14
-800	9
-798	7
-796	7
-794	9
-792	15
-790	4
-788	5
-786	12
-784	10
-782	11
-780	6
-778	1
-776	7
-774	3
-772	8
-770	6
-768	3
-766	7
-764	8
-762	8
-760	4
-758	4
-756	6
-754	6
-752	2
-750	5
-748	7
-746	3
-744	5
-742	4
-740	1
-738	2
-736	3
-734	5
-732	2
-730	7
-728	7
-726	3
-724	1
-722	3
-720	6
-718	1
-716	5
-714	5
-712	5
-710	5
-708	6
-706	4
-704	5
-702	11
-700	6
-698	4
-696	7
-694	1
-692	3
-690	0
-688	6
-686	2
-684	3
-682	3
-680	2
-678	5
-676	6
-674	7
-672	4
-670	6
-668	6
-666	3
-664	3
-662	5
-660	5
-658	3
-656	2
-654	2
-652	4
-650	1
-648	2
-646	3
-644	4
-642	3
-640	7
-638	1
-636	1
-634	2
-632	3
-630	2
-628	2
-626	1
-624	6
-622	6
-620	2
-618	3
-616	6
-614	6
-612	6
-610	5
-608	2
-606	4
-604	5
-602	5
-600	3
-598	3
-596	6
-594	6
-592	7
-590	6
-588	4
-586	4
-584	3
-582	4
-580	4
-578	3
-576	4
-574	4
-572	6
-570	5
-568	1
-566	1
-564	4
-562	1
-560	8
-558	3
-556	4
-554	3
-552	3
-550	2
-548	4
-546	5
-544	4
-542	2
-540	8
-538	4
-536	4
-534	5
-532	4
-530	4
-528	2
-526	3
-524	7
-522	5
-520	5
-518	4
-516	6
-514	8
-512	8
-510	2
-508	9
-506	3
-504	9
-502	9
-500	7
-498	12
-496	5
-494	7
-492	7
-490	5
-488	11
-486	6
-484	5
-482	2
-480	3
-478	6
-476	5
-474	6
-472	5
-470	4
-468	7
-466	12
-464	3
-462	10
-460	6
-458	7
-456	6
-454	6
-452	3
-450	9
-448	3
-446	6
-444	3
-442	5
-440	12
-438	6
-436	5
-434	3
-432	6
-430	7
-428	5
-426	9
-424	4
-422	5
-420	1
-418	6
-416	3
-414	8
-412	12
-410	7
-408	8
-406	9
-404	7
-402	6
-400	6
-398	4
-396	7
-394	8
-392	5
-390	6
-388	7
-386	11
-384	6
-382	8
-380	4
-378	10
-376	10
-374	5
-372	6
-370	5
-368	7
-366	5
-364	8
-362	5
-360	9
-358	7
-356	12
-354	7
-352	6
-350	11
-348	3
-346	5
-344	8
-342	6
-340	7
-338	6
-336	4
-334	7
-332	8
-330	7
-328	3
-326	5
-324	7
-322	7
-320	11
-318	8
-316	5
-314	7
-312	8
-310	7
-308	7
-306	8
-304	7
-302	8
-300	14
-298	11
-296	7
-294	5
-292	13
-290	7
-288	12
-286	7
-284	9
-282	8
-280	8
-278	13
-276	13
-274	9
-272	9
-270	11
-268	8
-266	12
-264	9
-262	10
-260	17
-258	16
-256	13
-254	17
-252	12
-250	22
-248	13
-246	20
-244	22
-242	23
-240	16
-238	25
-236	26
-234	20
-232	22
-230	27
-228	14
-226	23
-224	29
-222	22
-220	41
-218	43
-216	39
-214	39
-212	42
-210	46
-208	53
-206	57
-204	44
-202	56
-200	46
-198	50
-196	57
-194	63
-192	80
-190	62
-188	101
-186	84
-184	79
-182	102
-180	94
-178	103
-176	120
-174	133
-172	120
-170	114
-168	145
-166	152
-164	139
-162	155
-160	154
-158	169
-156	184
-154	182
-152	202
-150	208
-148	243
-146	254
-144	274
-142	297
-140	285
-138	301
-136	274
-134	378
-132	346
-130	378
-128	383
-126	430
-124	450
-122	476
-120	483
-118	537
-116	497
-114	599
-112	595
-110	625
-108	686
-106	716
-104	743
-102	755
-100	783
-98	829
-96	915
-94	951
-92	1069
-90	1118
-88	1138
-86	1317
-84	1310
-82	1349
-80	1515
-78	1543
-76	1644
-74	1743
-72	1936
-70	1941
-68	2036
-66	2259
-64	2421
-62	2504
-60	2702
-58	2757
-56	3015
-54	3175
-52	3426
-50	3611
-48	3876
-46	3957
-44	4235
-42	4644
-40	4735
-38	4993
-36	5336
-34	5545
-32	5733
-30	6123
-28	6370
-26	6640
-24	6840
-22	7242
-20	7334
-18	7561
-16	7954
-14	8156
-12	8355
-10	8666
-8	8544
-6	8783
-4	8805
-2	8988
0	9243
2	9213
4	9374
6	9347
8	9031
10	9351
12	9229
14	9261
16	9191
18	8948
20	8824
22	8586
24	8477
26	8315
28	8089
30	7956
32	7537
34	7494
36	7136
38	6962
40	6774
42	6404
44	6179
46	5925
48	5656
50	5500
52	5264
54	4984
56	4715
58	4482
60	4286
62	3999
64	3860
66	3602
68	3437
70	3222
72	3081
74	2829
76	2711
78	2632
80	2333
82	2277
84	2180
86	1992
88	1848
90	1766
92	1660
94	1512
96	1465
98	1354
100	1331
102	1290
104	1116
106	1032
108	1008
110	906
112	926
114	818
116	805
118	729
120	676
122	660
124	629
126	571
128	525
130	464
132	478
134	453
136	442
138	364
140	376
142	402
144	325
146	294
148	264
150	219
152	278
154	218
156	197
158	201
160	198
162	169
164	156
166	158
168	148
170	142
172	108
174	112
176	105
178	101
180	84
182	77
184	76
186	79
188	67
190	68
192	67
194	69
196	67
198	38
200	45
202	51
204	45
206	44
208	32
210	33
212	15
214	30
216	23
218	20
220	22
222	24
224	17
226	19
228	25
230	17
232	20
234	16
236	12
238	15
240	8
242	11
244	7
246	19
248	13
250	5
252	12
254	11
256	9
258	15
260	12
262	8
264	13
266	6
268	10
270	2
272	5
274	3
276	3
278	8
280	3
282	3
284	2
286	6
288	4
290	7
292	11
294	7
296	4
298	3
300	5
302	4
304	2
306	6
308	2
310	6
312	5
314	5
316	9
318	5
320	5
322	4
324	2
326	3
328	6
330	2
332	5
334	6
336	8
338	4
340	5
342	4
344	4
346	6
348	3
350	5
352	1
354	1
356	3
358	4
360	2
362	4
364	4
366	3
368	5
370	2
372	3
374	2
376	2
378	3
380	2
382	5
384	1
386	4
388	5
390	8
392	4
394	5
396	1
398	4
400	3
402	3
404	1
406	6
408	5
410	4
412	5
414	7
416	3
418	6
420	2
422	5
424	2
426	4
428	6
430	3
432	3
434	3
436	5
438	3
440	3
442	7
444	1
446	6
448	0
450	10
452	3
454	5
456	9
458	6
460	1
462	7
464	5
466	4
468	1
470	6
472	3
474	4
476	7
478	7
480	3
482	3
484	5
486	5
488	7
490	11
492	6
494	7
496	11
498	7
500	5
502	4
504	9
506	6
508	5
510	11
512	17
